year,month,day,min temp,max temp,mean temp
2015,1,1,9,22,16
,,,,,
2015,1,2,9,23,16
,,,,,
2015,1,3,12,23,18
,,,,,
2015,1,4,13,20,16
,,,,,
2015,1,5,9,21,15
,,,,,
2015,1,6,7,22,14
,,,,,
2015,1,7,12,24,18
,,,,,
2015,1,8,6,15,10
,,,,,
2015,1,9,6,16,11
,,,,,
2015,1,10,5,14,10
,,,,,
2015,1,11,3,15,9
,,,,,
2015,1,12,2,15,9
,,,,,
2015,1,13,3,18,10
,,,,,
2015,1,14,3,19,11
,,,,,
2015,1,15,6,16,11
,,,,,
2015,1,16,8,19,14
,,,,,
2015,1,17,8,19,14
,,,,,
2015,1,18,4,15,10
,,,,,
2015,1,19,5,18,12
,,,,,
2015,1,20,5,17,11
,,,,,
2015,1,21,5,20,12
,,,,,
2015,1,22,6,22,14
,,,,,
2015,1,23,6,23,14
,,,,,
2015,1,24,4,22,13
,,,,,
2015,1,25,6,23,14
,,,,,
2015,1,26,9,22,16
,,,,,
2015,1,27,15,23,19
,,,,,
2015,1,28,14,35,24
,,,,,
2015,1,29,13,24,18
,,,,,
2015,1,30,15,24,20
,,,,,
2015,1,31,9,24,17
,,,,,
2015,2,1,9,22,16
,,,,,
2015,2,2,8,23,16
,,,,,
2015,2,3,9,26,18
,,,,,
2015,2,4,13,28,21
,,,,,
2015,2,5,7,23,15
,,,,,
2015,2,6,8,23,16
,,,,,
2015,2,7,3,22,12
,,,,,
2015,2,8,15,23,19
,,,,,
2015,2,9,14,26,20
,,,,,
2015,2,10,17,28,22
,,,,,
2015,2,11,13,28,24
,,,,,
2015,2,12,10,22,16
,,,,,
2015,2,13,9,20,14
,,,,,
2015,2,14,9,23,16
,,,,,
2015,2,15,12,24,18
,,,,,
2015,2,16,14,28,21
,,,,,
2015,2,17,14,24,19
,,,,,
2015,2,18,14,22,18
,,,,,
2015,2,19,14,19,16
,,,,,
2015,2,20,10,23,16
,,,,,
2015,2,21,8,17,12
,,,,,
2015,2,22,5,11,8
,,,,,
2015,2,23,4,18,11
,,,,,
2015,2,24,6,20,13
,,,,,
2015,2,25,10,22,16
,,,,,
2015,2,26,10,22,16
,,,,,
2015,2,27,10,25,18
,,,,,
2015,2,28,10,27,18
,,,,,
2015,3,1,11,28,20
,,,,,
2015,3,2,13,27,20
,,,,,
2015,3,3,12,26,19
,,,,,
2015,3,4,12,26,19
,,,,,
2015,3,5,12,25,18
,,,,,
2015,3,6,9,26,18
,,,,,
2015,3,7,10,28,19
,,,,,
2015,3,8,11,30,20
,,,,,
2015,3,9,18,27,22
,,,,,
2015,3,10,15,28,22
,,,,,
2015,3,11,13,28,20
,,,,,
2015,3,12,12,29,20
,,,,,
2015,3,13,16,27,22
,,,,,
2015,3,14,16,30,23
,,,,,
2015,3,15,17,29,23
,,,,,
2015,3,16,17,30,24
,,,,,
2015,3,17,18,28,23
,,,,,
2015,3,18,18,20,19
,,,,,
2015,3,19,16,27,22
,,,,,
2015,3,20,20,28,24
,,,,,
2015,3,21,17,29,23
,,,,,
2015,3,22,15,24,20
,,,,,
2015,3,23,11,22,16
,,,,,
2015,3,24,11,25,18
,,,,,
2015,3,25,15,26,20
,,,,,
2015,3,26,17,23,20
,,,,,
2015,3,27,14,27,20
,,,,,
2015,3,28,16,30,23
,,,,,
2015,3,29,18,28,23
,,,,,
2015,3,30,20,31,26
,,,,,
2015,3,31,19,28,24
,,,,,
2015,4,1,20,31,26
,,,,,
2015,4,2,16,28,22
,,,,,
2015,4,3,16,30,23
,,,,,
2015,4,4,20,34,27
,,,,,
2015,4,5,21,35,28
,,,,,
2015,4,6,18,32,25
,,,,,
2015,4,7,18,34,26
,,,,,
2015,4,8,24,36,30
,,,,,
2015,4,9,21,38,30
,,,,,
2015,4,10,26,36,31
,,,,,
2015,4,11,27,32,30
,,,,,
2015,4,12,23,32,28
,,,,,
2015,4,13,18,27,22
,,,,,
2015,4,14,15,29,22
,,,,,
2015,4,15,17,28,22
,,,,,
2015,4,16,21,32,26
,,,,,
2015,4,17,23,32,28
,,,,,
2015,4,18,19,31,25
,,,,,
2015,4,19,18,33,26
,,,,,
2015,4,20,18,35,26
,,,,,
2015,4,21,21,38,30
,,,,,
2015,4,22,24,38,31
,,,,,
2015,4,23,22,37,30
,,,,,
2015,4,24,20,28,24
,,,,,
2015,4,25,16,28,22
,,,,,
2015,4,26,16,32,24
,,,,,
2015,4,27,20,33,26
,,,,,
2015,4,28,22,38,30
,,,,,
2015,4,29,20,39,30
,,,,,
2015,4,30,21,40,30
,,,,,
2015,5,1,25,42,34
,,,,,
2015,5,2,26,40,33
,,,,,
2015,5,3,27,36,32
,,,,,
2015,5,4,26,38,32
,,,,,
2015,5,5,24,38,31
,,,,,
2015,5,6,26,38,32
,,,,,
2015,5,7,26,33,30
,,,,,
2015,5,8,26,36,31
,,,,,
2015,5,9,23,39,31
,,,,,
2015,5,10,23,37,30
,,,,,
2015,5,11,25,41,33
,,,,,
2015,5,12,27,42,34
,,,,,
2015,5,13,28,42,35
,,,,,
2015,5,14,6,40,23
,,,,,
2015,5,15,29,37,33
,,,,,
2015,5,16,26,36,31
,,,,,
2015,5,17,23,40,32
,,,,,
2015,5,18,25,41,33
,,,,,
2015,5,19,26,41,34
,,,,,
2015,5,20,26,43,34
,,,,,
2015,5,21,29,44,36
,,,,,
2015,5,22,29,44,36
,,,,,
2015,5,23,28,44,36
,,,,,
2015,5,24,28,41,34
,,,,,
2015,5,25,30,42,36
,,,,,
2015,5,26,31,42,36
,,,,,
2015,5,27,28,44,36
,,,,,
2015,5,28,26,43,34
,,,,,
2015,5,29,31,47,39
,,,,,
2015,5,30,33,48,40
,,,,,
2015,5,31,34,46,40
,,,,,
2015,6,1,29,47,38
,,,,,
2015,6,2,31,48,40
,,,,,
2015,6,3,32,46,39
,,,,,
2015,6,4,30,47,38
,,,,,
2015,6,5,31,49,40
,,,,,
2015,6,6,28,46,37
,,,,,
2015,6,7,31,47,39
,,,,,
2015,6,8,30,44,37
,,,,,
2015,6,9,29,47,38
,,,,,
2015,6,10,29,49,39
,,,,,
2015,6,11,30,47,38
,,,,,
2015,6,12,29,43,36
,,,,,
2015,6,13,28,44,36
,,,,,
2015,6,14,29,45,37
,,,,,
2015,6,15,29,45,37
,,,,,
2015,6,16,32,45,38
,,,,,
2015,6,17,32,45,38
,,,,,
2015,6,18,31,46,38
,,,,,
2015,6,19,31,44,38
,,,,,
2015,6,20,29,45,38
,,,,,
2015,6,21,29,43,36
,,,,,
2015,6,22,30,45,38
,,,,,
2015,6,23,27,43,35
,,,,,
2015,6,24,24,43,34
,,,,,
2015,6,25,28,42,35
,,,,,
2015,6,26,27,41,34
,,,,,
2015,6,27,27,42,34
,,,,,
2015,6,28,29,43,36
,,,,,
2015,6,29,27,45,36
,,,,,
2015,6,30,29,44,36
,,,,,
2015,7,1,31,44,38
,,,,,
2015,7,2,30,47,38
,,,,,
2015,7,3,31,50,40
,,,,,
2015,7,4,33,50,42
,,,,,
2015,7,5,33,47,40
,,,,,
2015,7,6,30,45,38
,,,,,
2015,7,7,31,46,38
,,,,,
2015,7,8,31,45,38
,,,,,
2015,7,9,29,46,38
,,,,,
2015,7,10,30,46,38
,,,,,
2015,7,11,32,47,40
,,,,,
2015,7,12,30,48,39
,,,,,
2015,7,13,32,47,40
,,,,,
2015,7,14,31,48,40
,,,,,
2015,7,15,31,50,40
,,,,,
2015,7,16,32,51,42
,,,,,
2015,7,17,34,49,42
,,,,,
2015,7,18,33,47,40
,,,,,
2015,7,19,33,46,40
,,,,,
2015,7,20,34,46,40
,,,,,
2015,7,21,33,48,40
,,,,,
2015,7,22,34,48,41
,,,,,
2015,7,23,32,48,40
,,,,,
2015,7,24,7,47,27
,,,,,
2015,7,25,33,49,41
,,,,,
2015,7,26,34,50,42
,,,,,
2015,7,27,33,50,42
,,,,,
2015,7,28,33,51,42
,,,,,
2015,7,29,31,50,40
,,,,,
2015,7,30,33,51,42
,,,,,
2015,7,31,33,49,41
,,,,,
2015,8,1,35,49,42
,,,,,
2015,8,2,33,50,42
,,,,,
2015,8,3,32,48,40
,,,,,
2015,8,4,32,46,39
,,,,,
2015,8,5,31,48,40
,,,,,
2015,8,6,35,51,43
,,,,,
2015,8,7,34,50,42
,,,,,
2015,8,8,35,50,42
,,,,,
2015,8,9,32,43,38
,,,,,
2015,8,10,32,48,40
,,,,,
2015,8,11,30,47,38
,,,,,
2015,8,12,32,45,38
,,,,,
2015,8,13,32,46,39
,,,,,
2015,8,14,33,48,40
,,,,,
2015,8,15,32,50,41
,,,,,
2015,8,16,31,48,40
,,,,,
2015,8,17,31,49,40
,,,,,
2015,8,18,32,50,41
,,,,,
2015,8,19,30,50,40
,,,,,
2015,8,20,31,50,40
,,,,,
2015,8,21,28,50,39
,,,,,
2015,8,22,30,48,39
,,,,,
2015,8,23,30,49,40
,,,,,
2015,8,24,32,48,40
,,,,,
2015,8,25,35,47,41
,,,,,
2015,8,26,33,49,41
,,,,,
2015,8,27,34,48,41
,,,,,
2015,8,28,14,48,31
,,,,,
2015,8,29,34,50,42
,,,,,
2015,8,30,35,49,42
,,,,,
2015,8,31,35,47,41
,,,,,
2015,9,1,31,44,38
,,,,,
2015,9,2,27,43,35
,,,,,
2015,9,3,29,45,37
,,,,,
2015,9,4,29,46,38
,,,,,
2015,9,5,31,42,36
,,,,,
2015,9,6,31,43,37
,,,,,
2015,9,7,32,45,38
,,,,,
2015,9,8,33,46,40
,,,,,
2015,9,9,31,43,37
,,,,,
2015,9,10,31,45,38
,,,,,
2015,9,11,31,44,38
,,,,,
2015,9,12,31,45,38
,,,,,
2015,9,13,31,45,38
,,,,,
2015,9,14,30,44,37
,,,,,
2015,9,15,30,47,38
,,,,,
2015,9,16,29,46,38
,,,,,
2015,9,17,27,45,36
,,,,,
2015,9,18,29,45,37
,,,,,
2015,9,19,29,44,36
,,,,,
2015,9,20,27,44,36
,,,,,
2015,9,21,26,43,34
,,,,,
2015,9,22,26,44,35
,,,,,
2015,9,23,27,43,35
,,,,,
2015,9,24,25,42,34
,,,,,
2015,9,25,25,42,34
,,,,,
2015,9,26,28,42,35
,,,,,
2015,9,27,30,42,36
,,,,,
2015,9,28,25,43,34
,,,,,
2015,9,29,25,42,34
,,,,,
2015,9,30,26,41,34
,,,,,
2015,10,1,29,38,34
,,,,,
2015,10,2,28,43,36
,,,,,
2015,10,3,25,44,34
,,,,,
2015,10,4,28,45,36
,,,,,
2015,10,5,26,44,35
,,,,,
2015,10,6,25,43,34
,,,,,
2015,10,7,30,40,36
,,,,,
2015,10,8,29,39,34
,,,,,
2015,10,9,27,39,33
,,,,,
2015,10,10,27,38,32
,,,,,
2015,10,11,23,38,31
,,,,,
2015,10,12,21,37,29
,,,,,
2015,10,13,20,40,30
,,,,,
2015,10,14,26,41,34
,,,,,
2015,10,15,29,39,34
,,,,,
2015,10,16,25,39,32
,,,,,
2015,10,17,25,38,32
,,,,,
2015,10,18,24,37,30
