date,min temp,max temp,mean temp
"12:00 AM AST on January 01, 2015",9,22,16
,,,
"12:00 AM AST on January 02, 2015",9,23,16
,,,
"3:00 AM AST on January 03, 2015",12,23,18
,,,
"12:00 AM AST on January 04, 2015",13,20,16
,,,
"12:00 AM AST on January 05, 2015",9,21,15
,,,
"12:00 AM AST on January 06, 2015",7,22,14
,,,
"12:00 AM AST on January 07, 2015",12,24,18
,,,
"12:00 AM AST on January 08, 2015",6,15,10
,,,
"12:00 AM AST on January 09, 2015",6,16,11
,,,
"12:00 AM AST on January 10, 2015",5,14,10
,,,
"12:00 AM AST on January 11, 2015",3,15,9
,,,
"12:00 AM AST on January 12, 2015",2,15,9
,,,
"12:00 AM AST on January 13, 2015",3,18,10
,,,
"12:00 AM AST on January 14, 2015",3,19,11
,,,
"12:00 AM AST on January 15, 2015",6,16,11
,,,
"12:00 AM AST on January 16, 2015",8,19,14
,,,
"12:00 AM AST on January 17, 2015",8,19,14
,,,
"12:00 AM AST on January 18, 2015",4,15,10
,,,
"12:00 AM AST on January 19, 2015",5,18,12
,,,
"12:00 AM AST on January 20, 2015",5,17,11
,,,
"12:00 AM AST on January 21, 2015",5,20,12
,,,
"12:00 AM AST on January 22, 2015",6,22,14
,,,
"12:00 AM AST on January 23, 2015",6,23,14
,,,
"12:00 AM AST on January 24, 2015",4,22,13
,,,
"12:00 AM AST on January 25, 2015",6,23,14
,,,
"12:00 AM AST on January 26, 2015",9,22,16
,,,
"12:00 AM AST on January 27, 2015",15,23,19
,,,
"12:00 AM AST on January 28, 2015",14,35,24
,,,
"12:00 AM AST on January 29, 2015",13,24,18
,,,
"12:00 AM AST on January 30, 2015",15,24,20
,,,
"12:00 AM AST on January 31, 2015",9,24,17
,,,
"12:00 AM AST on February 01, 2015",9,22,16
,,,
"12:00 AM AST on February 02, 2015",8,23,16
,,,
"12:00 AM AST on February 03, 2015",9,26,18
,,,
"12:00 AM AST on February 04, 2015",13,28,21
,,,
"12:00 AM AST on February 05, 2015",7,23,15
,,,
"12:00 AM AST on February 06, 2015",8,23,16
,,,
"12:00 AM AST on February 07, 2015",3,22,12
,,,
"12:00 AM AST on February 08, 2015",15,23,19
,,,
"12:00 AM AST on February 09, 2015",14,26,20
,,,
"12:00 AM AST on February 10, 2015",17,28,22
,,,
"12:00 AM AST on February 11, 2015",13,28,24
,,,
"12:00 AM AST on February 12, 2015",10,22,16
,,,
"12:00 AM AST on February 13, 2015",9,20,14
,,,
"12:00 AM AST on February 14, 2015",9,23,16
,,,
"12:00 AM AST on February 15, 2015",12,24,18
,,,
"12:00 AM AST on February 16, 2015",14,28,21
,,,
"12:00 AM AST on February 17, 2015",14,24,19
,,,
"12:00 AM AST on February 18, 2015",14,22,18
,,,
"12:00 AM AST on February 19, 2015",14,19,16
,,,
"12:00 AM AST on February 20, 2015",10,23,16
,,,
"12:00 AM AST on February 21, 2015",8,17,12
,,,
"12:00 AM AST on February 22, 2015",5,11,8
,,,
"12:00 AM AST on February 23, 2015",4,18,11
,,,
"12:00 AM AST on February 24, 2015",6,20,13
,,,
"12:00 AM AST on February 25, 2015",10,22,16
,,,
"12:00 AM AST on February 26, 2015",10,22,16
,,,
"12:00 AM AST on February 27, 2015",10,25,18
,,,
"12:00 AM AST on February 28, 2015",10,27,18
,,,
"12:00 AM AST on March 01, 2015",11,28,20
,,,
"12:00 AM AST on March 02, 2015",13,27,20
,,,
"12:00 AM AST on March 03, 2015",12,26,19
,,,
"12:00 AM AST on March 04, 2015",12,26,19
,,,
"12:00 AM AST on March 05, 2015",12,25,18
,,,
"12:00 AM AST on March 06, 2015",9,26,18
,,,
"12:00 AM AST on March 07, 2015",10,28,19
,,,
"12:00 AM AST on March 08, 2015",11,30,20
,,,
"12:00 AM AST on March 09, 2015",18,27,22
,,,
"12:00 AM AST on March 10, 2015",15,28,22
,,,
"12:00 AM AST on March 11, 2015",13,28,20
,,,
"12:00 AM AST on March 12, 2015",12,29,20
,,,
"12:00 AM AST on March 13, 2015",16,27,22
,,,
"12:00 AM AST on March 14, 2015",16,30,23
,,,
"12:00 AM AST on March 15, 2015",17,29,23
,,,
"12:00 AM AST on March 16, 2015",17,30,24
,,,
"12:00 AM AST on March 17, 2015",18,28,23
,,,
"12:00 AM AST on March 18, 2015",18,20,19
,,,
"12:00 AM AST on March 19, 2015",16,27,22
,,,
"12:00 AM AST on March 20, 2015",20,28,24
,,,
